timestamp,plate,ocr_confidence_avg,char_confidences,det_confidence,vehicle_class,vehicle_confidence,image
20260407_182001,AP39A1,96.0,97.2|96.9|97.4|94.6|95.9|93.7|96.7|96.8|94.8,79.8,unknown,0.0,20260407_182001_raw.jpg
20260407_182044,AP39A1,95.0,97.3|96.5|97.4|95.9|96.5|83.2|96.3|96.7|94.8,81.0,unknown,0.0,20260407_182044_raw.jpg
20260407_182545,222H1903,63.0,99.3|99.0|41.0|21.7|99.1|98.7|20.4|38.3|49.0,75.0,unknown,0.0,20260407_182545_raw.jpg
20260408_103812,AP39A1,95.4,97.0|95.7|95.9|95.1|95.0|92.4|96.3|96.7|94.8,81.7,unknown,0.0,20260408_103812_raw.jpg
